,2. Datum nesreče,3. Ura nesreče,4. Nadzornik prisoten,5. Zdravnik prisoten,6. Reševalec prisoten,7. Udeleženec A – LETNICA ROJSTVA,8. Udeleženec A – država,9. Udeleženec A – zvrst smučanja,10. Udeleženec A – ravnanje pred nesrečo,11. Udeleženec B – LETO rojstva,12. Udeleženec B – država,13. Udeleženec B – zvrst smučanja,14. Skica nesreče,15. Fotografija kraja nesreče,16. Posnetek kraja nesreče,17. Vreme,18. Vidljivost,19. Temperatura,20. Vrsta snega,21. Veter,22. Telesna poškodba
281,19.2.2016,12:00,TRUE,,TRUE,2002,Slovenija,Alpsko,10,,,,,,,5,3,1,7,1,Lažja
282,19.2.2016,02:00,TRUE,,TRUE,2010,Slovenija,Alpsko,2,,,,,,,5,3,2,7,1,Lažja
283,1.2.2016,,TRUE,,TRUE,1992,Srbija,Alpsko,1,,,,TRUE,TRUE,,1,1,,12,1,Lažja
284,4.2.2016,10:30,TRUE,,TRUE,1937,Slovenija,Alpsko,2,,,,TRUE,TRUE,,1,2,-5,0,2,Lažja
285,6.2.2016,15:00,TRUE,,TRUE,2002,Madžarska,Alpsko,,,,,TRUE,TRUE,,1,2,1,3,1,Lažja
286,5.2.2016,15:00,TRUE,,TRUE,1983,Slovenija,Alpsko,24,1982,Slovenija,,TRUE,TRUE,,1,2,-2,3,1,Lažja
287,6.2.2016,10:30,TRUE,TRUE,TRUE,1963,Slovenija,Alpsko,,,,,TRUE,TRUE,,1,2,1,7,1,Lažja
288,1.1.2016,15:00,TRUE,,TRUE,2010,Slovenija,Drugo,23,,,,,,,2,2,2,3,1,Lažja
289,1.1.2016,21:00,TRUE,,TRUE,1961,Slovenija,Alpsko,1,,,,,,,1,,-3,7,,Lažja
290,2.1.2016,12:00,TRUE,,TRUE,1976,Slovenija,Alpsko,1,,,,TRUE,TRUE,,2,2,-2,4,1,Lažja
291,2.1.2016,13:00,TRUE,,TRUE,1977,Slovenija,Alpsko,1,,,,TRUE,TRUE,,5,2,,6,1,Lažja
292,3.1.2016,12:00,TRUE,,TRUE,2004,Hrvaška,Alpsko,1,,,,TRUE,TRUE,,5,2,-2,6,1,Lažja
293,3.1.2016,13:00,TRUE,,TRUE,1973,Srbija,Alpsko,1,,,,,,,2,2,-4,3,1,Lažja
294,4.1.2016,13:00,TRUE,,TRUE,1969,Hrvaška,Alpsko,1,,,,,,,2,1,-2,3,1,Lažja
295,7.2.2016,10:00,TRUE,TRUE,TRUE,1963,Slovenija,Alpsko,,,,,TRUE,,,,4,-1,2,1,Lažja
296,7.2.2016,12:00,TRUE,TRUE,TRUE,2000,Slovenija,Alpsko,,,,,TRUE,TRUE,,5,3,-6,7,1,Lažja
297,11.2.2016,14:30,TRUE,,TRUE,2002,Slovenija,Alpsko,1,,,,TRUE,TRUE,,1,2,1,7,1,Lažja
298,12.2.2016,09:00,TRUE,,TRUE,1964,Slovenija,Alpsko,2,,,,,,,5,3,-12,8,1,Lažja
299,12.2.2016,10:00,TRUE,,TRUE,1970,Slovenija,Alpsko,1,,,,TRUE,,,5,3,-1,5,2,Lažja
300,16.2.2016,15:30,TRUE,TRUE,TRUE,2005,Slovenija,Alpsko,1,,,,TRUE,TRUE,,2,1,-1,7,1,Lažja
301,17.2.2016,12:30,TRUE,,TRUE,1973,Slovenija,Alpsko,1,,,,TRUE,,,5,3,,7,1,Lažja
302,18.2.2016,14:00,TRUE,TRUE,TRUE,2004,Slovenija,Alpsko,,,,,TRUE,,,5,1,5,7,1,Lažja
303,18.2.2016,15:00,TRUE,TRUE,TRUE,2005,Slovenija,Alpsko,1,,,,TRUE,,,5,1,2,12,1,Lažja
304,19.2.2016,15:00,TRUE,TRUE,TRUE,,Združeno Kraljestvo,Alpsko,1,,,,TRUE,TRUE,,4,1,2,3,1,Lažja
305,21.2.2016,11:00,TRUE,TRUE,TRUE,1982,Slovenija,Alpsko,1,,,,TRUE,TRUE,,1,1,10,12,1,Lažja
